FeaturePahang,RankingPahang,FeatureKedah,RankingKedah,FeatureJohor,RankingJohor,FeatureSelangor,RankingSelangor
"(1day, Pahang)",10,"(10mth, Kelantan)",24,"(10mth, Melaka)",27,"(10mth, Melaka)",24
"(1day, Perak)",1,"(10mth, Melaka)",21,"(10mth, Negeri Sembilan)",26,"(10mth, Negeri Sembilan)",15
"(1day, Perlis)",1,"(10mth, Negeri Sembilan)",18,"(10mth, Pahang)",2,"(10mth, Pahang)",14
"(1day, Pulau Pinang)",1,"(10mth, Pahang)",17,"(10mth, Perak)",1,"(10mth, Perak)",13
"(1day, Sabah)",1,"(10mth, Perak)",1,"(10mth, Perlis)",1,"(10mth, Perlis)",12
"(1day, Sarawak)",1,"(10mth, Perlis)",1,"(10mth, Pulau Pinang)",1,"(10mth, Pulau Pinang)",9
"(1day, Selangor)",1,"(10mth, Pulau Pinang)",1,"(10mth, Sabah)",1,"(10mth, Sabah)",5
"(1day, Terengganu)",1,"(10mth, Sabah)",1,"(10mth, Sarawak)",1,"(10mth, Sarawak)",1
"(1day, W.P. Kuala Lumpur)",1,"(10mth, Sarawak)",1,"(10mth, Selangor)",1,"(10mth, Selangor)",1
"(1day, W.P. Labuan)",1,"(10mth, Selangor)",1,"(10mth, Terengganu)",1,"(10mth, Terengganu)",1
"(1day, W.P. Putrajaya)",1,"(10mth, Terengganu)",1,"(10mth, W.P. Kuala Lumpur)",1,"(10mth, W.P. Kuala Lumpur)",1
"(1mth, Kedah)",1,"(10mth, W.P. Kuala Lumpur)",1,"(10mth, W.P. Labuan)",1,"(10mth, W.P. Labuan)",1
"(1mth, Kelantan)",1,"(10mth, W.P. Labuan)",1,"(10mth, W.P. Putrajaya)",1,"(10mth, W.P. Putrajaya)",1
"(1mth, Melaka)",3,"(10mth, W.P. Putrajaya)",1,"(11mth, Johor)",1,"(11mth, Johor)",1
"(1mth, Negeri Sembilan)",1,"(11mth, Johor)",1,"(11mth, Kedah)",1,"(11mth, Kedah)",1
"(1mth, Pahang)",1,"(11mth, Kedah)",1,"(11mth, Kelantan)",1,"(11mth, Kelantan)",1
"(1mth, Perlis)",1,"(11mth, Kelantan)",1,"(11mth, Melaka)",1,"(11mth, Melaka)",1
"(1mth, Pulau Pinang)",1,"(11mth, Melaka)",1,"(11mth, Negeri Sembilan)",1,"(11mth, Negeri Sembilan)",1
"(1mth, Sabah)",1,"(11mth, Negeri Sembilan)",1,"(11mth, Pahang)",1,"(11mth, Pahang)",1
"(1mth, Sarawak)",27,"(11mth, Pahang)",1,"(11mth, Perak)",1,"(11mth, Perak)",1
"(1mth, Selangor)",1,"(11mth, Perak)",1,"(11mth, Perlis)",1,"(11mth, Perlis)",1
"(1mth, W.P. Kuala Lumpur)",15,"(11mth, Perlis)",1,"(11mth, Pulau Pinang)",1,"(11mth, Pulau Pinang)",1
"(1mth, W.P. Labuan)",1,"(11mth, Pulau Pinang)",1,"(11mth, Sabah)",1,"(11mth, Sabah)",1
"(1mth, W.P. Putrajaya)",20,"(11mth, Sabah)",1,"(11mth, Sarawak)",1,"(11mth, Sarawak)",1
"(1week, Kedah)",1,"(11mth, Sarawak)",1,"(11mth, Selangor)",1,"(11mth, Selangor)",1
